,,Max FP64 eK diff = ,0.000352139,,Max FP32 eK diff = ,1.602667555,,,Max FP64 fK diff = ,0.000317625,,Max FP32 fK diff = ,1.524640625
,,Min FP64 eK diff = ,9.1108E-05,,Min FP32 eK diff = ,0.353028108,,,Min FP64 fK diff = ,0.000140765,,Min FP32 fK diff = ,0.000140765
,,,,,,,,,,,,,
,Serial eK,CUDA eK - FP64,eK abs Diff - FP64,,CUDA eK - FP32,eK Diff - FP32,,Serial fK,CUDA fK - FP64,fK abs Diff - FP64,,CUDA fK - FP32,fK abs Diff - FP32
Row#0,200000.0122,200000.0124,0.000177889,,200000.7969,0.784651889,,115470.0325,115470.0321,0.000317625,,115468.5078,1.524640625
Row#1,186670.344,186670.3443,0.000248676,,186671.4688,1.124717676,,161205.5215,161205.5212,0.000296953,,161204.1094,1.412103953
Row#2,184053.7651,184053.7654,0.00026782,,184054.9844,1.21929282,,173740.4797,173740.4794,0.000293035,,173739.1094,1.370359035
Row#3,183874.8028,183874.8031,0.000265526,,183876.0156,1.212829526,,172260.0883,172260.088,0.000292631,,172258.7031,1.385129631
Row#4,178438.9395,178438.9398,0.000285448,,178440.2344,1.294851448,,184972.9793,184972.979,0.000284363,,184971.625,1.354306363
Row#5,174386.7272,174386.7275,0.000303631,,174388.1094,1.382180631,,196616.9823,196616.982,0.000277792,,196615.6563,1.326034792
Row#6,168398.7246,168398.7249,0.000327761,,168400.2188,1.494184761,,212482.5336,212482.5333,0.000269226,,212481.2656,1.267936226
Row#7,163982.3061,163982.3065,0.000345533,,163983.875,1.568875533,,223635.8271,223635.8268,0.000262095,,223634.5781,1.248957095
Row#8,182441.3135,182441.3138,0.000275335,,182442.5781,1.264619335,,178375.5268,178375.5265,0.000290801,,178374.1563,1.370501801
Row#9,183269.346,183269.3463,0.000268536,,183270.5938,1.247737536,,174146.7297,174146.7294,0.000291161,,174145.3594,1.370338161
Row#10,184544.5897,184544.5899,0.000255524,,184545.75,1.160306524,,165561.4651,165561.4648,0.000293605,,165560.0781,1.386958605
Row#11,185895.7368,185895.7371,0.000240761,,185896.8281,1.091287761,,156318.9575,156318.9572,0.000295143,,156317.5625,1.395019143
Row#12,183440.1726,183440.1729,0.000272465,,183441.4063,1.233605465,,176794.4455,176794.4452,0.000291589,,176793.0625,1.382967589
Row#13,162181.0593,162181.0594,0.000117793,,162181.5469,0.487562793,,75924.08084,75924.08058,0.000256415,,75922.8125,1.268340415
Row#14,168280.1489,168280.149,0.000134013,,168280.7031,0.554221013,,86423.26618,86423.26591,0.00026674,,86421.96094,1.30524174
Row#15,166985.0388,166985.039,0.000135215,,166985.6094,0.570547215,,87119.71221,87119.71194,0.00026409,,87118.42188,1.29033209
Row#16,173608.783,173608.7832,0.000147709,,173609.4219,0.638834709,,95563.79685,95563.79657,0.000275026,,95562.45313,1.343721026
Row#17,164524.8835,164524.8836,0.00012698,,164525.4063,0.52277898,,81633.21775,81633.21749,0.000260512,,81631.9375,1.280247512
Row#18,166661.277,166661.2772,0.000139412,,166661.8594,0.582329412,,89627.35605,89627.35579,0.000263659,,89626.0625,1.293552659
Row#19,171306.0889,171306.089,0.000135104,,171306.6563,0.567366104,,86979.98957,86979.9893,0.000270953,,86978.66406,1.325510953
Row#20,165840.3049,165840.305,0.000128214,,165840.8438,0.538852214,,82563.07189,82563.07163,0.000262227,,82561.78125,1.290643227
Row#21,168354.8099,168354.81,0.000135323,,168355.375,0.565096323,,87056.81297,87056.81271,0.000266557,,87055.5,1.312971557
Row#22,167590.0476,167590.0478,0.000140413,,167590.6406,0.593001413,,90413.82514,90413.82488,0.000265008,,90412.52344,1.301704008
Row#23,167363.3254,167363.3256,0.00013507,,167363.8906,0.56517807,,86975.66461,86975.66435,0.000264821,,86974.35938,1.305237821
Row#24,178152.2059,178152.206,0.000140149,,178152.7969,0.591000149,,90563.38481,90563.38453,0.000281958,,90562.00781,1.376996958
Row#25,185681.9399,185681.9401,0.000148959,,185682.5938,0.653824959,,97134.30654,97134.30624,0.000294245,,97132.88281,1.423724245
Row#26,179014.163,179014.1631,0.000152612,,179014.8281,0.665150612,,99336.68329,99336.683,0.000283324,,99335.30469,1.378597324
